"";"category_nk";"household";"personal";"enterpreneurship";"livestock";"services"
"1";1;0;1;0;0;0
"2";2;0;1;0;0;0
"3";3;0;1;0;0;0
"4";4;0;1;0;0;0
"5";5;0;1;0;0;0
"6";6;0;1;0;0;0
"7";7;0;1;0;0;0
"8";8;0;1;0;0;0
"9";9;0;0;1;0;0
"10";10;0;1;0;0;0
"11";11;0;0;1;0;0
"12";12;0;0;1;0;0
"13";13;0;0;1;0;0
"14";14;0;0;1;0;0
"15";15;0;0;1;0;0
"16";16;0;1;0;0;0
"17";17;0;1;0;0;0
"18";18;0;0;1;0;0
"19";19;0;0;1;0;0
"20";20;1;0;0;0;0
"21";21;1;0;0;0;0
"22";22;0;1;0;0;0
"23";23;0;1;0;0;0
"24";24;0;0;1;0;0
"25";25;1;0;0;0;0
"26";26;1;0;0;0;0
"27";27;1;0;0;0;0
"28";28;0;0;1;0;0
"29";29;0;0;1;0;0
"30";30;0;0;1;0;0
"31";31;0;0;1;0;0
"32";32;0;0;1;0;0
"33";33;0;0;1;0;0
"34";34;0;0;1;0;0
"35";35;0;0;1;0;0
"36";36;0;1;0;0;0
"37";37;0;1;0;0;0
"38";38;0;1;0;0;0
"39";39;0;1;0;0;0
"40";40;0;1;0;0;0
"41";41;0;0;1;0;0
"42";42;0;0;1;0;0
"43";43;0;0;0;1;0
"44";44;0;0;0;1;0
"45";45;0;0;0;1;0
"46";46;0;0;0;1;0
"47";47;0;0;0;1;0
"48";48;0;0;0;1;0
"49";49;0;0;0;1;0
"50";50;0;0;0;1;0
"51";51;1;0;0;0;0
"52";52;1;0;0;0;0
"53";53;1;0;0;0;0
"54";54;1;0;0;0;0
"55";55;1;0;0;0;0
"56";56;1;0;0;0;0
"57";57;1;0;0;0;0
"58";58;1;0;0;0;0
"59";59;1;0;0;0;0
"60";60;1;0;0;0;0
"61";61;1;0;0;0;0
"62";62;1;0;0;0;0
"63";63;1;0;0;0;0
"64";64;1;0;0;0;0
"65";65;1;0;0;0;0
"66";66;1;0;0;0;0
"67";67;1;0;0;0;0
"68";68;1;0;0;0;0
"69";69;1;0;0;0;0
"70";70;0;0;1;0;0
"71";71;1;0;0;0;0
"72";72;1;0;0;0;0
"73";73;1;0;0;0;0
"74";74;0;0;0;1;0
"75";75;1;0;0;0;0
"76";76;1;0;0;0;0
"77";77;0;1;0;0;0
"78";78;0;1;0;0;0
"79";86;0;1;0;0;0
"80";87;0;1;0;0;0
"81";88;0;1;0;0;0
"82";89;0;1;0;0;0
"83";90;0;1;0;0;0
"84";91;0;1;0;0;0
"85";92;0;1;0;0;0
"86";93;0;1;0;0;0
"87";94;0;1;0;0;0
"88";95;0;1;0;0;0
"89";96;0;1;0;0;0
"90";97;0;0;1;0;0
"91";98;0;0;1;0;0
"92";99;1;0;0;0;0
"93";100;1;0;0;0;0
"94";101;0;1;0;0;0
"95";102;0;1;0;0;0
"96";103;0;1;0;0;0
"97";104;0;1;0;0;0
"98";105;0;1;0;0;0
"99";106;0;1;0;0;0
"100";107;0;1;0;0;0
"101";108;0;1;0;0;0
"102";109;0;1;0;0;0
"103";110;0;1;0;0;0
"104";111;0;1;0;0;0
"105";112;0;1;0;0;0
"106";113;0;1;0;0;0
"107";114;0;1;0;0;0
"108";115;0;1;0;0;0
"109";116;0;1;0;0;0
"110";117;0;1;0;0;0
"111";118;0;1;0;0;0
"112";119;0;1;0;0;0
"113";120;0;1;0;0;0
"114";121;0;1;0;0;0
"115";122;0;1;0;0;0
"116";123;0;1;0;0;0
"117";124;0;1;0;0;0
"118";125;1;0;0;0;0
"119";126;0;1;0;0;0
"120";127;0;1;0;0;0
"121";128;0;1;0;0;0
"122";129;0;1;0;0;0
"123";130;0;1;0;0;0
"124";131;0;1;0;0;0
"125";132;0;1;0;0;0
"126";133;0;1;0;0;0
"127";134;0;1;0;0;0
"128";135;0;1;0;0;0
"129";136;0;1;0;0;0
"130";137;0;0;1;0;0
"131";138;0;0;1;0;0
"132";139;0;0;1;0;0
"133";140;0;0;1;0;0
"134";141;0;0;1;0;0
"135";142;0;0;1;0;0
"136";143;0;0;1;0;0
"137";144;0;0;1;0;0
"138";145;0;1;0;0;0
"139";146;0;0;1;0;0
"140";147;0;0;1;0;0
"141";148;0;0;1;0;0
"142";149;0;0;1;0;0
"143";150;0;0;1;0;0
"144";151;0;0;1;0;0
"145";152;0;0;1;0;0
"146";153;0;0;1;0;0
"147";154;0;0;1;0;0
"148";155;0;0;1;0;0
"149";156;0;0;1;0;0
"150";157;0;1;0;0;0
"151";158;0;0;1;0;0
"152";161;0;0;1;0;0
"153";162;0;0;1;0;0
"154";164;0;0;1;0;0
"155";165;0;0;1;0;0
"156";166;0;0;1;0;0
"157";167;0;0;1;0;0
"158";168;0;0;1;0;0
"159";169;0;0;1;0;0
"160";170;0;1;0;0;0
"161";171;0;0;1;0;0
"162";172;0;0;1;0;0
"163";173;0;0;0;0;1
"164";174;0;0;0;0;1
"165";175;0;0;1;0;0
"166";176;0;0;0;1;0
"167";177;0;0;0;1;0
"168";178;0;0;0;1;0
"169";179;0;0;0;1;0
"170";180;0;0;0;1;0
"171";181;0;0;1;0;0
"172";182;0;0;1;0;0
"173";183;0;0;1;0;0
"174";184;0;0;0;0;1
"175";185;0;0;0;0;1
"176";186;0;0;0;0;1
"177";187;0;0;0;0;1
"178";188;0;0;0;0;1
"179";189;0;0;0;0;1
"180";190;0;0;0;0;1
"181";191;0;0;0;0;1
"182";192;0;0;0;0;1
"183";193;0;0;0;0;1
"184";194;0;0;0;0;1
"185";195;0;0;0;0;1
"186";196;0;0;0;0;1
"187";197;0;0;0;0;1
"188";198;0;0;0;0;1
"189";199;0;0;0;0;1
"190";200;0;0;0;0;1
"191";201;0;0;0;0;1
"192";202;0;0;0;0;1
"193";203;0;0;0;0;1
"194";204;0;0;0;0;1
"195";205;0;0;0;0;1
"196";206;0;0;0;0;1
"197";207;0;0;0;0;1
"198";208;0;0;0;0;1
"199";209;0;0;0;0;1
"200";210;0;0;0;0;1
"201";211;0;0;0;0;1
"202";212;0;0;0;0;1
"203";213;0;0;0;0;1
"204";214;0;0;0;0;1
"205";215;0;0;0;0;1
"206";216;0;0;0;0;1
"207";217;0;0;0;0;1
"208";218;0;0;0;0;1
"209";219;0;0;0;0;1
"210";220;0;0;0;0;1
"211";221;0;0;0;0;1
"212";222;0;0;0;0;1
"213";223;0;0;0;0;1
"214";224;0;0;0;0;1
"215";225;1;0;0;0;0
"216";226;1;0;0;0;0
"217";227;1;0;0;0;0
"218";228;1;0;0;0;0
"219";229;1;0;0;0;0
"220";230;1;0;0;0;0
"221";231;1;0;0;0;0
"222";232;0;0;0;0;1
"223";233;0;0;0;0;1
"224";234;0;0;0;0;1
"225";235;0;0;0;0;1
"226";236;0;0;0;0;1
"227";237;0;0;0;0;1
"228";238;0;0;0;0;1
"229";239;0;0;0;0;1
"230";240;0;0;0;0;1
"231";241;0;0;0;0;1
"232";242;0;0;0;0;1
"233";243;0;0;0;0;1
"234";244;0;0;0;0;1
"235";245;0;0;0;0;1
"236";246;0;0;0;0;1
"237";247;0;0;0;0;1
"238";248;0;0;0;0;1
"239";249;0;0;0;0;1
"240";250;0;0;0;0;1
"241";251;0;0;0;0;1
"242";252;0;0;0;0;1
"243";253;0;0;0;0;1
"244";254;0;0;0;0;1
"245";255;0;0;0;0;1
"246";256;0;0;0;0;1
"247";257;0;0;0;0;1
"248";258;0;0;0;0;1
"249";259;0;0;0;0;1
"250";260;0;0;0;0;1
"251";261;0;0;0;0;1
"252";262;0;0;0;0;1
"253";263;0;0;0;0;1
"254";264;0;0;0;0;1
"255";265;0;0;0;0;1
"256";266;0;0;0;0;1
"257";267;0;0;0;0;1
"258";268;0;0;0;0;1
"259";269;0;0;0;0;1
"260";270;0;0;0;0;1
"261";271;0;0;0;0;1
"262";272;0;0;0;0;1
"263";273;0;0;1;0;0
"264";274;0;0;0;0;1
"265";275;0;0;0;0;1
"266";276;0;0;0;0;1
"267";277;0;0;1;0;0
"268";288;0;0;1;0;0
"269";289;0;0;1;0;0
"270";290;0;0;1;0;0
"271";292;0;0;1;0;0
"272";293;0;0;1;0;0
"273";294;0;0;1;0;0
"274";295;0;0;1;0;0
"275";296;0;0;1;0;0
"276";297;0;0;1;0;0
"277";298;0;0;1;0;0
"278";299;0;0;1;0;0
"279";300;0;0;1;0;0
"280";301;0;1;0;0;0
"281";302;0;1;0;0;0
"282";303;0;1;0;0;0
"283";304;0;1;0;0;0
"284";305;0;1;0;0;0
"285";306;0;0;1;0;0
"286";307;0;0;1;0;0
"287";308;0;0;1;0;0
"288";309;0;0;1;0;0
"289";310;0;0;0;1;0
"290";311;0;1;0;0;0
"291";312;0;1;0;0;0
"292";313;0;0;1;0;0
"293";314;0;0;1;0;0
"294";315;0;0;1;0;0
"295";316;0;0;1;0;0
"296";317;0;0;0;1;0
"297";318;0;0;1;0;0
"298";319;0;0;1;0;0
"299";320;0;0;1;0;0
"300";321;0;0;1;0;0
